stop_id,stop_name,stop_desc,stop_lat,stop_lon
4970,,,42.9812627,-87.9445082
3640,,,43.060077,-87.8922073
4971,,,42.9813371,-87.9480158
3638,,,43.0617265,-87.8979897
4969,,,42.9812766,-87.9420966
2306,,,43.0101096,-87.9680653
3639,,,43.0601074,-87.8974053
2305,,,43.0101008,-87.9721832
2304,,,43.0100873,-87.9734216
2302,,,43.0101057,-87.9793861
2301,,,43.0101275,-87.9816966
2300,,,43.0101035,-87.9840498
3630,,,42.9255202,-87.9147598
4961,,,42.9817381,-87.9190725
4962,,,42.9811673,-87.9238768
3632,,,43.0601922,-87.9084802
4963,,,42.9811363,-87.9263861
3633,,,43.0601628,-87.9054659
4964,,,42.9811339,-87.9288123
3634,,,43.0604687,-87.9040443
4965,,,42.9811473,-87.9315033
3635,,,43.0619563,-87.9040457
4966,,,42.9811642,-87.9337867
2309,,,43.010177,-87.9606469
4967,,,42.981187,-87.9360999
2307,,,43.0101195,-87.9650918
4968,,,42.9812362,-87.9385056
4980,,,42.9812371,-87.9771654
4981,,,42.981237,-87.9802456
3650,,,43.0660017,-87.8779914
3651,,,43.0672583,-87.8779665
4982,,,42.9812551,-87.9840429
2320,,,42.8863487,-87.9025461
3649,,,43.0633128,-87.8780361
2317,,,43.0123413,-87.9383776
2316,,,43.0123834,-87.941155
2,,,43.0389785,-87.9034637
2315,,,43.0122738,-87.9435897
3,,,43.0388571,-87.9061058
2314,,,43.0102695,-87.9440012
2313,,,43.0103549,-87.948273
4,,,43.0387233,-87.9085275
2312,,,43.010299,-87.950646
5,,,43.0388211,-87.9110124
2311,,,43.0102553,-87.9530934
6,,,43.0388477,-87.9144052
2310,,,43.0102453,-87.955132
7,,,43.0388807,-87.9174012
8,,,43.0388797,-87.9201925
3641,,,43.0600474,-87.889577
4972,,,42.9812969,-87.9543047
9,,,43.038892,-87.9229685
3642,,,43.0600765,-87.888337
4973,,,42.9812667,-87.9579654
3643,,,43.0600566,-87.8859347
4974,,,42.9812962,-87.960525
4975,,,42.9812475,-87.9637751
3644,,,43.0600889,-87.8838375
4976,,,42.9812263,-87.9651962
3645,,,43.0599852,-87.8807755
4977,,,42.9812574,-87.967696
3647,,,43.0606074,-87.8798444
4978,,,42.981245,-87.9716102
2319,,,43.0121961,-87.9309958
3648,,,43.0623193,-87.8781866
4979,,,42.9812154,-87.9742541
2318,,,43.0122474,-87.9356243
4990,,,42.9811662,-88.011375
4991,,,42.9811473,-88.0137455
3660,,,43.0709055,-87.8807375
4992,,,42.9811381,-88.0174577
3661,,,43.0708974,-87.8782445
4993,,,42.981126,-88.019914
3662,,,43.0694951,-87.8781098
2331,,,42.8816747,-87.9063564
2330,,,42.8812809,-87.902631
2328,,,42.8830202,-87.9120274
2327,,,43.0523866,-87.9142353
2326,,,42.8846028,-87.9025181
2324,,,43.0386357,-87.9591216
2322,,,42.9151633,-87.8616163
2321,,,42.9148063,-87.8602957
3652,,,43.0690887,-87.8779517
4983,,,42.9812658,-87.9875863
3653,,,43.0708941,-87.8779189
4984,,,42.9812433,-87.9889477
4985,,,42.9812244,-87.9914491
4986,,,42.9812071,-87.9951279
4987,,,42.9812074,-87.9976362
3656,,,43.0747526,-87.8790691
4988,,,42.9811594,-88.0017646
3657,,,43.0747678,-87.8809181
3658,,,43.0729678,-87.8830059
4989,,,42.9811242,-88.007414
3659,,,43.071191,-87.8830974
2329,,,42.8843343,-87.918538
3670,,,43.0602356,-87.8878861
3671,,,43.0602263,-87.8903456
3672,,,43.0599031,-87.8796105
3673,,,43.0602407,-87.8976403
1011,,,43.1780739,-87.9792658
2342,,,42.8942703,-87.919873
1010,,,43.1785021,-87.9922295
2340,,,42.9558618,-88.0214483
2339,,,42.8891299,-87.9208503
1008,,,43.0385733,-87.9191673
1007,,,43.047093,-88.0435888
2338,,,42.8865638,-87.9205103
2337,,,43.0163172,-88.0270483
1006,,,43.1468347,-88.0250686
2336,,,43.0457261,-88.0482633
2334,,,42.8848834,-87.9210742
2333,,,42.8829671,-87.9089681
1001,,,43.0025753,-88.0309993
2332,,,42.8824057,-87.9075048
3663,,,43.0675472,-87.8782972
4994,,,42.9811484,-88.0224552
3664,,,43.0661858,-87.8781498
4995,,,42.981086,-88.0272344
3665,,,43.0637494,-87.8781932
4996,,,42.9810679,-88.0306142
4997,,,42.9810168,-88.0324176
3666,,,43.0625693,-87.8782004
4998,,,42.981244,-88.0363464
3667,,,43.0608575,-87.8798656
3668,,,43.0602381,-87.8834468
3669,,,43.0602255,-87.8860149
1009,,,43.0426877,-87.9145508
3680,,,43.0603027,-87.908594
3681,,,43.0603764,-87.9109571
3682,,,43.0603959,-87.9139658
3683,,,43.060368,-87.9169349
3684,,,43.0603521,-87.9198101
2353,,,43.0204279,-87.9747858
2351,,,43.0306719,-87.9985271
1020,,,43.0373456,-87.9131619
2350,,,42.9592646,-88.0333811
6708,,,43.044356,-87.9899554
2349,,,42.8954896,-87.9115945
1017,,,43.0345966,-87.9168138
6709,,,43.0435872,-87.9865269
2347,,,42.8943741,-87.9161538
1016,,,43.1775544,-87.9703303
1015,,,43.1779157,-87.9746857
1014,,,43.1817545,-87.974595
1013,,,43.1829466,-87.977246
2344,,,42.9576971,-88.0187285
2343,,,43.0394793,-87.9836277
1012,,,43.1803072,-87.9791974
6700,,,43.0449062,-88.0269997
3674,,,43.0620755,-87.8983071
3675,,,43.0620868,-87.9002569
6702,,,43.0495055,-88.0083964
6701,,,43.0439224,-88.0263418
3677,,,43.0621179,-87.9038754
3678,,,43.0603766,-87.904257
6704,,,43.0479057,-88.0023151
3679,,,43.0602846,-87.9052221
